Location ID,Time,Recorder,Rec Count,Page,Segment,Direction,Count,Gender ,Age_Y,Age_O,Helmet,Wrong way,Sidewalk,Distracted,Pedestrian,Notes,Construction
107,AM,Ryan Fulmer,8,2,2,2,,,,,,,,,16,,
107,AM,Ryan Fulmer,8,2,2,3,13,4,,,4,1,1,2,10,,
107,AM,Ryan Fulmer,8,2,2,4,2,,,,,,,1,7,,
107,AM,Ryan Fulmer,8,2,3,1,1,,,,,,,,7,,
107,AM,Ryan Fulmer,8,2,3,2,,,,,,,,,16,,
107,AM,Ryan Fulmer,8,2,3,3,8,5,,,,,,2,10,,
107,AM,Ryan Fulmer,8,2,3,4,2,,,,,,1,1,8,,
107,AM,Ryan Fulmer,8,2,4,1,,,,,,,,,6,,
107,AM,Ryan Fulmer,8,2,4,2,1,1,,,,,,,17,,
107,AM,Ryan Fulmer,8,2,4,3,13,6,,,3,,3,,8,,
107,AM,Ryan Fulmer,8,2,4,4,2,,,,,1,2,,4,,
109,PM,Ann Connolly,9,1,1,1,3,,,,1,,1,,9,(4-4:15p): 1 recumbent tricycle - possibly hand-operated,
109,PM,Ann Connolly,9,1,1,2,1,,,,,,,1,3,,
109,PM,Ann Connolly,9,1,1,3,2,1,,,1,1,1,,11,,
109,PM,Ann Connolly,9,1,1,4,,1,,,,,,,7,,
109,PM,Ann Connolly,9,1,2,1,3,,,,1,1,1,1,6,,
109,PM,Ann Connolly,9,1,2,2,,,,,,,,,4,,
109,PM,Ann Connolly,9,1,2,3,1,1,,,1,1,,,4,,
109,PM,Ann Connolly,9,1,2,4,2,3,,,,1,2,,3,,
109,PM,Ann Connolly,9,1,3,1,2,,,,2,,,,1,,
109,PM,Ann Connolly,9,1,3,2,1,,,1,,,,,1,,
109,PM,Ann Connolly,9,1,3,3,,,,,,,,,11,,
109,PM,Ann Connolly,9,1,3,4,2,3,,,,1,2,,9,,
109,PM,Ann Connolly,9,1,4,1,,,,,,,,,8,,
109,PM,Ann Connolly,9,1,4,2,1,,,,,1,1,,1,,
109,PM,Ann Connolly,9,1,4,3,,,,,,,,,3,,
109,PM,Ann Connolly,9,1,4,4,2,1,,,,1,2,,4,,
109,PM,Ann Connolly,9,2,1,1,2,1,,,,,,,4,"within the minute after 6pm, 10 more cyclists passed ",
109,PM,Ann Connolly,9,2,1,2,1,,,,,,,,2,,
109,PM,Ann Connolly,9,2,1,3,4,,,,,,2,,8,,
109,PM,Ann Connolly,9,2,1,4,,,,,,,,,10,,
109,PM,Ann Connolly,9,2,2,1,1,,,,,,,,3,,
109,PM,Ann Connolly,9,2,2,2,1,2,,,1,,,1,1,,
109,PM,Ann Connolly,9,2,2,3,1,,,,,,,,10,,
109,PM,Ann Connolly,9,2,2,4,6,2,,,,,,2,3,,
109,PM,Ann Connolly,9,2,3,1,4,,,,2,1,,,2,,
109,PM,Ann Connolly,9,2,3,2,,1,,,1,,,,4,,
