"Location ID",Time,Recorder,"Rec Count",Page,Segment,Direction,Count,"Gender ",Age_Y,Age_O,Helmet,"Wrong way",Sidewalk,Distracted,Pedestrian,Motoroized,Electric,Decor/Lights,"ADA Peds","ADA Chairs",Notes,Construction,LocRank,LocRankUniq,Seg,Seg1,LocTime,LocTimeDir,,"Gender ",Age_Y,Age_O,Helmet,"Wrong way",Sidewalk,Distracted,,"Cordon in","Cordon out","Bike Lane Size","Bike Lane"
105,AM,"Jennifer Guzy",5,1,3,4,,,,,,,,,,,,,,,,,5,,3,105_3,105AM,105AMEW,,,,,,,,,,0,0,1,1
105,AM,"Jennifer Guzy",5,1,4,1,,,,,,,,,,,,,,,,,5,,4,105_4,105AM,105AMNS,,,,,,,,,,0,0,3,1
105,AM,"Jennifer Guzy",5,1,4,2,1,1,,,1,,,,,,,,,,,,5,,4,105_4,105AM,105AMNS,,,,,,,,,,0,0,4,1
105,AM,"Jennifer Guzy",5,1,4,3,,,,,,,,,,,,,,,,,5,,4,105_4,105AM,105AMEW,,,,,,,,,,0,0,1,1
105,AM,"Jennifer Guzy",5,1,4,4,,,,,,,,,,,,,,,,,5,,4,105_4,105AM,105AMEW,,,,,,,,,,0,0,1,1
105,AM,"Jennifer Guzy",5,1,,,,,,,,,,,,,,,,,,,5,,,,105AM,,,,,,,,,,,0,0,0,0
105,AM,"Jennifer Guzy",5,2,1,1,1,,,,,,,,1,,,,,,,,5,,5,105_5,105AM,105AMNS,,,,,,,,,,0,0,3,1
105,AM,"Jennifer Guzy",5,2,1,2,1,,,,1,,,,,,,,,,,,5,,5,105_5,105AM,105AMNS,,,,,,,,,,0,0,4,1
105,AM,"Jennifer Guzy",5,2,1,3,,,,,,,,,2,,,,,,,,5,,5,105_5,105AM,105AMEW,,,,,,,,,,0,0,1,1
105,AM,"Jennifer Guzy",5,2,1,4,,,,,,,,,,,,,,,,,5,,5,105_5,105AM,105AMEW,,,,,,,,,,0,0,1,1
105,AM,"Jennifer Guzy",5,2,2,1,,,,,,,,,,,,,,,,,5,,6,105_6,105AM,105AMNS,,,,,,,,,,0,0,3,1
105,AM,"Jennifer Guzy",5,2,2,2,1,1,,,1,,,,,,,,,,,,5,,6,105_6,105AM,105AMNS,,,,,,,,,,0,0,4,1
105,AM,"Jennifer Guzy",5,2,2,3,1,,,,1,,,,,,,,,,,,5,,6,105_6,105AM,105AMEW,,,,,,,,,,0,0,1,1
105,AM,"Jennifer Guzy",5,2,2,4,,,,,,,,,,,,,,,,,5,,6,105_6,105AM,105AMEW,,,,,,,,,,0,0,1,1
